"Date","Price","Open","High","Low","Vol.","Change %"
"01/01/2007","1,041.33","751.04","1,049.82","741.27","245.81K","38.52%"
"02/01/2007","1,137.69","1,066.33","1,174.10","1,010.38","154.93K","9.25%"
"03/01/2007","1,071.33","1,147.51","1,179.32","999.35","271.15K","-5.83%"
"04/01/2007","923.89","1,059.18","1,061.75","903.94","118.71K","-13.76%"
"05/01/2007","1,081.48","933.30","1,127.75","933.30","174.60K","17.06%"
"06/01/2007","1,024.68","1,085.93","1,085.93","1,020.64","169.82K","-5.25%"
"07/01/2007","907.95","1,015.71","1,032.71","903.41","136.89K","-11.39%"
"08/01/2007","908.37","905.34","942.33","875.87","146.05K","0.05%"
"09/01/2007","1,046.86","919.87","1,046.86","919.87","197.30K","15.25%"
"10/01/2007","1,065.09","1,072.72","1,110.78","1,064.20","338.60K","1.74%"
"11/01/2007","972.35","1,074.46","1,075.92","963.56","265.69K","-8.71%"
"12/01/2007","927.02","977.86","990.51","911.15","169.99K","-4.66%"
"01/01/2008","844.11","925.66","926.01","762.99","228.71K","-8.94%"
"02/01/2008","663.30","854.15","859.62","661.75","195.51K","-21.42%"
"03/01/2008","516.85","646.08","669.24","494.40","315.79K","-22.08%"
"04/01/2008","522.36","520.53","552.42","513.93","168.70K","1.07%"
"05/01/2008","414.10","523.29","523.75","413.77","88.29K","-20.73%"
"06/01/2008","399.40","408.20","408.20","364.32","199.84K","-3.55%"
"07/01/2008","451.36","406.46","493.17","406.44","363.14K","13.01%"
"08/01/2008","539.10","447.37","575.71","428.63","457.81K","19.44%"
"09/01/2008","456.70","552.60","559.34","416.88","434.52K","-15.28%"
"10/01/2008","347.05","463.26","466.93","313.63","366.14K","-24.01%"
"11/01/2008","314.74","347.73","388.27","303.54","308.65K","-9.31%"
"12/01/2008","315.62","313.33","318.82","284.06","277.80K","0.28%"
"01/01/2009","303.21","312.49","322.59","300.02","127.06K","-3.93%"
"02/01/2009","245.74","301.12","301.30","234.66","172.41K","-18.95%"
"03/01/2009","280.67","244.23","292.85","240.96","412.12K","14.21%"
"04/01/2009","321.63","282.07","347.81","282.07","748.91K","14.59%"
